INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Florida Atlantic University,Boca Raton,FL,33431-0991,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Florida,Southeast,0.5932,Small,City
Mercy College,Dobbs Ferry,NY,10522,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7945,Large,Suburb
Hobart William Smith Colleges,Geneva,NY,14456,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.5717,Distant,Town
The Sage Colleges,Troy,NY,12180,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.933,Small,City
University of Louisville,Louisville,KY,40292-0001,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Kentucky,Southeast,0.7243,Large,City
Pacific Northwest College of Art,Portland,OR,97209-3404,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.9309,Large,City
The Catholic University of America,Washington,DC,20064,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,District of Columbia,Mid East,0.8368,Large,City
Bard College,Annandale-On-Hudson,NY,12504-5000,Middle States Commission on Higher Education,0,Main campus,12,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.6456,Fringe,Town
Arizona State University-Skysong,Scottsdale,AZ,85257,Higher Learning Commission,0,Not main campus,11,Predominantly bachelor's-degree granting,Graduate degree,Public,Arizona,Southwest,0.6829,Midsize,City
University of Nebraska at Omaha,Omaha,NE,68182-0225,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Nebraska,Plains,0.8168,Large,City
University of Wisconsin-Parkside,Kenosha,WI,53144,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Wisconsin,Great Lakes,0.6712,Midsize,Suburb
Columbia College Chicago,Chicago,IL,60605-1996,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.8675,Large,City
University of New Mexico-Main Campus,Albuquerque,NM,87106,Higher Learning Commission,0,Main campus,5,Predominantly bachelor's-degree granting,Graduate degree,Public,New Mexico,Southwest,0.6961,Large,City
Dickinson College,Carlisle,PA,17013-2896,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Pennsylvania,Mid East,0.4914,Small,City
Stevenson University,Stevenson,MD,21153-0641,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Maryland,Mid East,0.7316,Fringe,Rural
Milwaukee Institute of Art & Design,Milwaukee,WI,53202-6003,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Wisconsin,Great Lakes,0.6401,Large,City
Central Washington University,Ellensburg,WA,98926-7501,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Washington,Far West,0.7816,Distant,Town
Veritas Baptist College,Greendale,IN,47025,Transnational Association of Christian Colleges and Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Indiana,Great Lakes,0.9146,Fringe,Rural
University of Minnesota-Duluth,Duluth,MN,55812,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Minnesota,Plains,0.7432,Small,City
University of Mary Washington,Fredericksburg,VA,22401-5300,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Virginia,Southeast,0.7175,Midsize,Suburb
Herzing University-Brookfield,Brookfield,WI,53005,Higher Learning Commission,0,Not main campus,10,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.9896,Large,Suburb
Chamberlain University-Ohio,Columbus,OH,43209,Higher Learning Commission,0,Not main campus,15,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Ohio,Great Lakes,0.7059,Large,City
Newbury College,Brookline,MA,2445,,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Massachusetts,New England,0.7676,Large,Suburb
Concorde Career College-San Bernardino,San Bernardino,CA,92408-3403,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.7972,Midsize,City
Bates College,Lewiston,ME,4240,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Maine,New England,0.1779,Small,City
St Bonaventure University,Saint Bonaventure,NY,14778-9800,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7284,Remote,Town
MIAT College of Technology,Canton,MI,48188,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,Michigan,Great Lakes,0.6892,Large,Suburb
Ursinus College,Collegeville,PA,19426-1000,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Pennsylvania,Mid East,0.7087,Large,Suburb
Hope International University,Fullerton,CA,92831-3199,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.2945,Large,Suburb
Carroll University,Waukesha,WI,53186,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.6864,Small,City
Ithaca College,Ithaca,NY,14850-7002,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.6854,Small,Suburb
Denison University,Granville,OH,43023,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Ohio,Great Lakes,0.3391,Small,Suburb
University of Massachusetts-Dartmouth,North Dartmouth,MA,02747-2300,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Massachusetts,New England,0.7754,Midsize,Suburb
Compass College of Cinematic Arts,Grand Rapids,MI,49503,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Michigan,Great Lakes,0.679,Midsize,City
The King's University,Southlake,TX,76092,Transnational Association of Christian Colleges and Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Texas,Southwest,0.2182,Large,Suburb
The University of Tennessee-Knoxville,Knoxville,TN,37996,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Tennessee,Southeast,0.7778,Midsize,City
Carrington College-Spokane,Spokane,WA,99206-4187,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Not main campus,2,Predominantly certificate-degree granting,Associate degree,Private for-profit,Washington,Far West,0.8736,Small,City
Greater Lowell Technical School,Tyngsboro,MA,1879,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Massachusetts,New England,1.0,Large,Suburb
Oberlin College,Oberlin,OH,44074,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Ohio,Great Lakes,0.3621,Fringe,Town
Lyon College,Batesville,AR,72501,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Arkansas,Southeast,0.4986,Remote,Town
Landmark College,Putney,VT,5346,New England Commission on Higher Education,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,Vermont,New England,0.5722,Distant,Rural
University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Alabama,Southeast,0.8087,Midsize,City
Earlham College,Richmond,IN,47374-4095,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Indiana,Great Lakes,0.6522,Distant,Town
St. John's College,Annapolis,MD,21401,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Maryland,Mid East,0.5761,Large,Suburb
Kuyper College,Grand Rapids,MI,49525-9781,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Michigan,Great Lakes,0.6807,Large,Suburb
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Minnesota,Plains,0.9262,Large,Suburb
Beloit College,Beloit,WI,53511-5595,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Wisconsin,Great Lakes,0.564,Small,City
Minnesota State University-Mankato,Mankato,MN,56001,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Minnesota,Plains,0.6092,Small,City
George Fox University,Newberg,OR,97132,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.8231,Fringe,Town
The King's College,New York,NY,10004,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.5382,Large,City
University of Hartford,West Hartford,CT,06117-1599,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Connecticut,New England,0.7136,Midsize,City
University of Central Oklahoma,Edmond,OK,73034,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Oklahoma,Southwest,0.7822,Large,Suburb
Beacon College,Leesburg,FL,34748,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Florida,Southeast,0.5075,Midsize,Suburb
Shepherds College,Union Grove,WI,53182-1527,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Wisconsin,Great Lakes,0.9556,Fringe,Town
Wake Forest University,Winston-Salem,NC,27106,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,North Carolina,Southeast,0.294,Midsize,City
Washington and Lee University,Lexington,VA,24450-2116,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Virginia,Southeast,0.2116,Distant,Town
Johnson & Wales University-Denver,Denver,CO,80220,New England Commission on Higher Education,0,Not main campus,4,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Colorado,Rocky Mountains,0.8677,Large,City
St. Mary's College of Maryland,St. Mary's City,MD,20686,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Maryland,Mid East,0.8006,Small,Suburb
Missouri University of Science and Technology,Rolla,MO,65409,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Missouri,Plains,0.8416,Remote,Town
Colorado School of Trades,Lakewood,CO,80215-2996,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private for-profit,Colorado,Rocky Mountains,0.9688,Midsize,City
Trinity College,Hartford,CT,06106-3100,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Connecticut,New England,0.3355,Midsize,City
Hussian College School of Art,Philadelphia,PA,19130,Accrediting Commission of Career Schools and Colleges,0,Main campus,7,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Pennsylvania,Mid East,0.5,Large,City
Clarkson University,Potsdam,NY,13699,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7108,Remote,Town
